nohup: ignoring input
Loading data.
Ready to train network.
/home/omnisky/anaconda3/envs/pytorch/lib/python3.8/site-packages/torchvision/transforms/transforms.py:210: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch:1/30 || Epochiter:121/769 || Yaw:112.0184,Pitch:90.4282,Roll:66.4470||Batchtime:0.7350||ETA:4:41:08
Epoch:1/30 || Epochiter:122/769 || Yaw:149.2682,Pitch:134.7096,Roll:122.3248||Batchtime:0.7286||ETA:4:38:39
Epoch:1/30 || Epochiter:123/769 || Yaw:91.1030,Pitch:155.2474,Roll:102.2317||Batchtime:0.7357||ETA:4:41:21
Epoch:1/30 || Epochiter:124/769 || Yaw:75.7961,Pitch:152.6838,Roll:64.9870||Batchtime:0.7352||ETA:4:41:10
Epoch:1/30 || Epochiter:125/769 || Yaw:162.0750,Pitch:93.4252,Roll:101.7321||Batchtime:0.7369||ETA:4:41:48
Epoch:1/30 || Epochiter:126/769 || Yaw:75.0601,Pitch:152.6649,Roll:97.8865||Batchtime:0.7579||ETA:4:49:50
Epoch:1/30 || Epochiter:127/769 || Yaw:117.3146,Pitch:181.2966,Roll:113.8547||Batchtime:0.7344||ETA:4:40:50
Epoch:1/30 || Epochiter:128/769 || Yaw:107.0022,Pitch:132.9518,Roll:97.8534||Batchtime:0.7786||ETA:4:57:44
Epoch:1/30 || Epochiter:129/769 || Yaw:85.4133,Pitch:90.4298,Roll:116.0969||Batchtime:0.7199||ETA:4:35:16
Epoch:1/30 || Epochiter:130/769 || Yaw:168.1425,Pitch:138.7769,Roll:113.5830||Batchtime:0.7046||ETA:4:29:24
Epoch:1/30 || Epochiter:131/769 || Yaw:76.4496,Pitch:125.7045,Roll:110.8797||Batchtime:0.7474||ETA:4:45:44
Epoch:1/30 || Epochiter:132/769 || Yaw:99.6464,Pitch:124.0719,Roll:82.6967||Batchtime:0.7619||ETA:4:51:16
Epoch:1/30 || Epochiter:133/769 || Yaw:55.5452,Pitch:126.1911,Roll:102.5094||Batchtime:0.7502||ETA:4:46:47
Epoch:1/30 || Epochiter:134/769 || Yaw:99.7578,Pitch:129.6677,Roll:129.5149||Batchtime:0.7656||ETA:4:52:41
Epoch:1/30 || Epochiter:135/769 || Yaw:81.3006,Pitch:122.0889,Roll:106.5524||Batchtime:0.7334||ETA:4:40:20
Epoch:1/30 || Epochiter:136/769 || Yaw:70.7194,Pitch:108.9043,Roll:121.9473||Batchtime:0.7188||ETA:4:34:46
Epoch:1/30 || Epochiter:137/769 || Yaw:106.7997,Pitch:89.3552,Roll:116.7850||Batchtime:0.7727||ETA:4:55:21
Epoch:1/30 || Epochiter:138/769 || Yaw:136.2941,Pitch:104.7282,Roll:108.6286||Batchtime:0.7514||ETA:4:47:12
Epoch:1/30 || Epochiter:139/769 || Yaw:124.3725,Pitch:83.6365,Roll:71.7705||Batchtime:0.7640||ETA:4:52:00
Epoch:1/30 || Epochiter:140/769 || Yaw:169.0342,Pitch:143.5592,Roll:106.0347||Batchtime:0.7522||ETA:4:47:29
